reviews,titles
타카하시 잇세이...단 한번도 같은 모습을 보여준 적이없다..항상 같은 드리마 같은 영화가 아니기 때문에..연기의 신!,13년의 공백 (blank 13)
그래도 기억에 남는건 가족이다.,13년의 공백 (blank 13)
3.1 운동 100주년입니다. 유관순 열사님 다시 한번 감사드립니다.,1919 유관순
"관람객 일단 연기력은 유관순 외 열사빼고는 어설펐다 그리고 고문신이 너무 적나라하고 잔인해서 12세가 아닌 15세 이상으로 올려야할듯하지만 항거와는 또다른 방식이었고 유관순 외 다른 열사들도 조명했고, 3.1운동이 갖는 역...",1919 유관순
극장에 저 혼자 있어서 죄송합니다. 이렇게 우리를 위해 헌신 하셨는데 극장에는 오늘 저 혼자 였습니다. 죄송합니다.,1919 유관순
3.1운동 100주년을 맞이한 의미있는 영화였습니다. 많은 분들이 이 영화를 봤으면 좋겠습니다.,1919 유관순
유관순을 포함한 많은 독립운동가들을 기억할 것입니다. 3.1 운동 100주년을 기념한 영화가 제작되어 잘 보고 왔습니다.,1919 유관순
영화가 제작된 것 자체에 큰 의미가 있다고 봅니다. 앞으로 100년 뒤에도 기억하고 잊지 않겠습니다. 이새봄 배우의 열연이 돋보입니다 실제 고증을 거쳤을 강도 높은 고문장면을 보니 마음이 아프네요,1919 유관순
관람객 대한 독립 만세감동 감동 감동 감동,1919 유관순
마지막 장면에서 울컥.. 개봉하자마자 봤는데 극장 사람들 박수 치면서 일어 났습니다. 항거와는 또 다른 느낌의 영화네요. 유관순 열사가 영원히 기억되면 좋겠습니다.,1919 유관순
유관순 열사 뿐만 아니라 다른 독립 투사 여성들을 조명했다는 것이 인상 깊었어요. 항거와는 또 다른 매력이 있는 영화라고 생각합니다! 한국인이라면 꼭 봐야할 영화로 추천합니다!,1919 유관순
"처음은 보기 힘들었고, 중후반 가서 좋았다가 마지막 마무리 부분에서 좀 아쉬웠습니다. 다큐 형식인 걸 감안해도 연출이 아쉽네요. 항거와 비교해보면 일제의 만행을 더 자세히 나타내고, 다른 열사분들을 조명한 점은 좋았...",1919 유관순
적당한 킬링타임용,2047 버추얼 레볼루션 (2047: Virtual Revolution)
대학생도 아닌 고등학생 출품전 수준. 등장인물 4명. CG는 배경 몇컷정도. 등장하는 4명조차 발연기의 향연. 진짜 시간을 버리고 싶은데 가장 효율적인걸 찾는 사람이라면 보세요. 그리고 SF장르 아니고 어설픈 추리물...,2047 버추얼 레볼루션 (2047: Virtual Revolution)
처음으로 댓글쓴다.내가 2021년에 모텔에서 이걸 쳐보고 있었다.너네도 봐라.,2047 버추얼 레볼루션 (2047: Virtual Revolution)
몇몇 인상적인 장면이 있기는 하지만 전체적으로 지루하게 전개된다,2047 버추얼 레볼루션 (2047: Virtual Revolution)
방금 4D로 보고왔습니다. 오른쪽 아줌마는 침튀기며 소리지르고 왼쪽 여친은 무서운 장면마다 제 온몸을 꽉 쥐더군요. 그게 더 무서웠습니다. 완벽한 4D 그 자체더군요,47미터 2 (47 meters down: uncaged)
47미터2 재미있으면 추천 재미없으면 비추천,47미터 2 (47 meters down: uncaged)
“거의 다왔어.” (으악!!!)“우리가 해냈어” (으아아악!!!!),47미터 2 (47 meters down: uncaged)
5명이상 모이면 한명은쓰레기이다- 다 나갈수있었는데 한명때문에 ㅋㅋ,47미터 2 (47 meters down: uncaged)
마지막에 왕따시킨애 바다로밀줄알았는뎈ㅋㅋ,47미터 2 (47 meters down: uncaged)
상어가 눈이없어서 더 무섭고 중간에 몇번 돌연사할뻔..,47미터 2 (47 meters down: uncaged)
진심 재밌다. 상어 영화 중 최고 등급이라 생각한다. 딥블루씨 잼있게 봤다면 무조건 강추,47미터 2 (47 meters down: uncaged)
